u_tau,U_inf,nu,M,delta,delta_star,theta
0.033383408446002336,1.0,2.8343868607575423e-06,0.7966113341189711,1.0,0.11400883002207506,0.08948887756834777
0.03931899500648763,1.0,3.4220187124880445e-05,0.7058193184096136,1.0,0.17118798955613576,0.12271540469973889
0.03942751251823522,1.0,3.5077858112308915e-05,0.7047659446779141,1.0,0.17151779359430605,0.12277580071174377
0.04105427374989736,1.0,4.8527510342668276e-05,0.7072783633942342,1.0,0.1715449172576832,0.12174940898345153
0.0386981927943965,1.0,2.7641566281711784e-05,0.714118873829209,1.0,0.16524000000000003,0.12000000000000001
0.03793051130329237,1.0,2.2116916211832287e-05,0.7194116631222665,1.0,0.3507428571428572,0.2571428571428572
0.03777576307041402,1.0,2.0893674264609523e-05,0.7205354105261057,1.0,0.16109181415929202,0.11836283185840707
0.03747002398081535,1.0,1.8586321419055235e-05,0.7237440081549078,1.0,0.15850396825396826,0.11706349206349206
,1.0,,,1.0,,
0.041086322363285264,1.0,4.9621162274499114e-05,0.7092048106762305,1.0,0.16992753623188409,0.12077294685990339
0.03944617569326654,1.0,3.547317958027567e-05,0.7062440186354157,1.0,0.17048920863309353,0.1223021582733813
0.03926495994974085,1.0,3.405460533368677e-05,0.7081626493652379,1.0,0.17022723330442321,0.1222896790980052
0.03868621610120314,1.0,3.031835117649149e-05,0.7099892769043076,1.0,0.16824059561128527,0.12147335423197492
0.03761944172748476,1.0,2.2580697315417025e-05,0.7122867908966145,1.0,0.16659543817527012,0.1212484993997599
0.03746721618583739,1.0,2.1037179217202353e-05,0.7133718360676314,1.0,0.16538461538461538,0.12071869736103312
0.04613184481247405,1.0,0.00010366706699432371,0.7236450507280543,1.0,0.16468988764044945,0.11460674157303372
0.04379434177104318,1.0,7.576875738934807e-05,0.7156629548972012,1.0,0.16752941176470587,0.11764705882352941
0.042260068461310904,1.0,6.124647603088537e-05,0.710597482450926,1.0,0.1705710144927536,0.12028985507246376
0.03892716727003776,1.0,2.978360158380854e-05,0.7191361126144874,1.0,0.16271920428462128,0.11782708492731447
0.038295102056446984,1.0,2.6649340331556704e-05,0.7173256538510948,1.0,0.164098121085595,0.11899791231732777
0.03779718033034735,1.0,2.405931275006197e-05,0.7167763715916431,1.0,0.16378866963717378,0.11903246339910886
0.037378985534332596,1.0,2.187184642149362e-05,0.717083967194241,1.0,0.1638923346986542,0.11936805149210064
0.03705762460626274,1.0,2.005282716789109e-05,0.7168726041693757,1.0,0.16383658008658009,0.11958874458874458
0.03678905157825031,1.0,1.8496255192684923e-05,0.7178904967908402,1.0,0.16276621417797887,0.11915535444947209
0.03854158637169506,1.0,3.029998928592379e-05,0.7087513832159171,1.0,0.16962264150943396,0.1218553459119497
0.038645849435770596,1.0,3.104084292029767e-05,0.7086482407001592,1.0,0.1700690763052209,0.12208835341365462
0.03908692933083177,1.0,3.413705618413255e-05,0.7076329564233256,1.0,0.17081222707423582,0.12227074235807861
0.039177277179236046,1.0,1.5835601123377546e-05,0.7670001415700911,1.0,0.13128294260307194,0.10145513338722716
0.044563279857397504,1.0,6.079574332523534e-05,0.8103301202192285,1.0,0.11212278308321966,0.0791268758526603
0.04464883689779882,1.0,6.041791190500517e-05,0.8136788508889552,1.0,0.11029769959404599,0.07713125845737483
0.04477077363896848,1.0,7.640063760916123e-05,0.802241164310955,1.0,0.11688737201365187,0.08191126279863481
0.04477077363896848,1.0,7.339471088355488e-05,0.8104622107500918,1.0,0.11291803278688524,0.07868852459016393
0.044444444444444446,1.0,2.968900764491947e-05,0.7789323795072667,1.0,0.12428056112224449,0.09619238476953908
0.04737540269092287,1.0,3.3599576376541047e-05,0.8346232493094857,1.0,0.09190354609929079,0.07375886524822696
0.0502008032128514,1.0,3.362411467706055e-05,0.8824537662638356,1.0,0.06457334226389819,0.052243804420629605
0.049701789264413515,1.0,4.19070735787635e-05,0.9188127132648,1.0,0.045789207419898816,0.03541315345699831
0.04996252810392206,1.0,0.00012745542883653587,0.7886941510809703,1.0,0.12455102040816328,0.08673469387755103
0.05108034938958982,1.0,0.00020189861418810207,0.7880981013298373,1.0,0.12699604743083004,0.08300395256916997
0.05149860953754249,1.0,0.00023093546877821745,0.7756884643215989,1.0,0.13240358744394617,0.08520179372197309
0.05203184348821478,1.0,0.0003025107179547371,0.6754866676735201,1.0,0.1944941860465116,0.12209302325581395
0.047980040303233856,1.0,0.00015993346767744618,0.7080286238235668,1.0,0.17359999999999998,0.11666666666666665
0.04779886238707519,1.0,0.00014844367200955028,0.7052418895354953,1.0,0.1739503105590062,0.11801242236024845
0.055697894619583375,1.0,0.0005514643031641919,0.7444172619204853,1.0,0.1612871287128713,0.0891089108910891
0.049860390905464694,1.0,0.0004155032575455391,0.675067771635262,1.0,0.20381666666666667,0.11666666666666667
0.05125313925477936,1.0,0.0002979833677603451,0.6879541911454548,1.0,0.1952267441860465,0.12209302325581393
0.05177591384487936,1.0,0.0005450096194197828,0.6754846463126072,1.0,0.21351578947368421,0.11578947368421053
0.05011777677542224,1.0,0.00024567537635010906,0.6895555371378033,1.0,0.1920343137254902,0.12254901960784315
0.04867601246105919,1.0,0.00017509357000381002,0.6979083520600062,1.0,0.18443165467625897,0.12230215827338128
0.05051780752715332,1.0,0.0002644911388856195,0.7356040765724126,1.0,0.157869109947644,0.09947643979057592
0.04603203829865586,1.0,0.00011956373584066457,0.7108232767665243,1.0,0.16994805194805193,0.11688311688311688
0.044097543766812186,1.0,8.612801516955505e-05,0.7093427560069697,1.0,0.169775390625,0.119140625
0.03219471362802228,1.0,1.0767462751846916e-05,0.6828629563599097,1.0,0.18708428093645482,0.13010033444816052
0.03129498654315579,1.0,2.07114404653579e-05,0.609176927305214,1.0,0.24097154202514895,0.15023163467902054
0.029933846199898227,1.0,1.3587764956830788e-05,0.6093211685314891,1.0,0.23939446209714027,0.1516114389468906
0.02955257402919794,1.0,9.68301901349867e-06,0.6210028997885214,1.0,0.22997509829619925,0.1487549148099607
0.029445540472895382,1.0,8.177045396527459e-06,0.634092281607901,1.0,0.22137850597056374,0.14412663149125243
0.04581481651165987,1.0,0.00020544760767560478,0.6264171734604896,1.0,0.234762331838565,0.14349775784753363
0.04006570776072759,1.0,2.992211184520358e-05,0.7652563441680914,1.0,0.13420014936519792,0.10007468259895445
0.04319281271596406,1.0,3.148164192125661e-05,0.7904322870986918,1.0,0.11762026239067055,0.09110787172011663
0.03708373507379663,1.0,2.6891758574181745e-05,0.7389750653082288,1.0,0.15744597534445248,0.10297316896301667
0.037037037037037035,1.0,2.6137640816539898e-05,0.7355525955345028,1.0,0.15390825688073392,0.11009174311926605
0.03572321651841532,1.0,2.403984960862404e-05,0.7263030722589803,1.0,0.1609905787348587,0.11305518169582773
0.03541703559412077,1.0,2.3270062808226528e-05,0.7054323741816184,1.0,0.17494480946123522,0.11957950065703023
0.03341464229625422,1.0,2.21876774875526e-05,0.6922439837826542,1.0,0.18426826029216467,0.12416998671978752
0.03580123156236575,1.0,6.193984699371237e-06,0.80254887812942,1.0,0.11004290657439447,0.08719723183391004
0.03890293717175647,1.0,7.237755752884924e-06,0.8277817354667092,1.0,0.09457172093023256,0.0775813953488372
0.03306222310388151,1.0,5.319746275765328e-06,0.7844549227304581,1.0,0.12225261464199519,0.09332260659694289
0.03238237103720734,1.0,5.0716321123269135e-06,0.7825390614455888,1.0,0.12364635865309319,0.09381362568519969
0.031595576619273306,1.0,4.9655157346021225e-06,0.7714049210680919,1.0,0.13089077479176486,0.09775263240609774
0.03108292925525302,1.0,4.908864380172618e-06,0.756216901682792,1.0,0.14017182564750474,0.10360075805432722
0.030286510388273062,1.0,4.987896967765656e-06,0.7465948074027392,1.0,0.1467391304347826,0.1067193675889328
0.020338845160371793,1.0,5.505913687160745e-06,0.5157459860430808,1.0,0.32583757444504596,0.15863562533838657
0.023471423541837816,1.0,5.952681598234293e-06,0.5590952821202927,1.0,0.285121481105757,0.155718995688562
0.025104812592573997,1.0,6.223305055174516e-06,0.5946369304885994,1.0,0.2551988101140308,0.15047099652949927
0.029368575624082235,1.0,7.249710102217288e-06,0.6483363562412953,1.0,0.21148778079486547,0.13996544063194274
0.031622553204945766,1.0,7.703423436040382e-06,0.6772551849270568,1.0,0.1890299634591961,0.13349573690621194
0.03318951211417192,1.0,8.274622815799531e-06,0.6968553519035318,1.0,0.17492146596858635,0.12814759411618049
0.022500225002250022,1.0,6.9509499543558914e-06,0.552818698357736,1.0,0.2931726907630522,0.15446400988569664
0.026060669237986032,1.0,7.797926163371044e-06,0.6241375137771813,1.0,0.2329335727109515,0.14272890484739675
0.0276121051468964,1.0,8.296906594620312e-06,0.6557000981271193,1.0,0.20839633413461536,0.13611778846153846
0.032152273165712814,1.0,9.02393296820455e-06,0.701838311133997,1.0,0.17406679764243613,0.12433342688745438
0.035373187124159884,1.0,1.009220745339797e-05,0.7485867658052958,1.0,0.1437009985734665,0.10756062767475037
0.0360893572485474,1.0,1.0909721054579021e-05,0.7441125276321092,1.0,0.1458675937122128,0.11033857315598548
0.02147766323024055,1.0,9.362538461307998e-06,0.5295345448257959,1.0,0.3122920662598082,0.15780296425457715
0.024481602076039857,1.0,9.816199709719269e-06,0.5701724760185183,1.0,0.2756054530874098,0.15396952686447474
0.028366380166226987,1.0,1.0632076524073083e-05,0.6192631198683305,1.0,0.2356799100449775,0.14467766116941527
0.03190199706501627,1.0,1.1626092224860158e-05,0.6707214728111274,1.0,0.19593804664723033,0.13338192419825073
0.025062656641604012,1.0,1.285923891308569e-05,0.5459340203120572,1.0,0.30038070805541306,0.1534120061570036
0.027548209366391185,1.0,1.364448210321505e-05,0.5971768896864555,1.0,0.2540861812778603,0.1485884101040119
0.029380655776236924,1.0,1.4936784837944547e-05,0.6454188303954166,1.0,0.21630401626842907,0.13777325876970004
0.033659833720421424,1.0,1.612061001935892e-05,0.6950569410301031,1.0,0.17956034482758623,0.12547892720306514
0.03671745915182669,1.0,1.7141670939228147e-05,0.7256151746658568,1.0,0.15890102707749768,0.11531279178338003
0.037613781689611075,1.0,1.86576298063547e-05,0.7233693559637651,1.0,0.1590892857142857,0.11706349206349206
0.025242963523917708,1.0,2.1106156792573334e-05,0.552626773480709,1.0,0.2908193979933111,0.15551839464882944
0.0292363466261256,1.0,2.3539731583031882e-05,0.005970985181741076,1.0,0.2526457326892109,0.15056360708534622
0.031826861871419476,1.0,2.5279477260857407e-05,0.006321728851756096,1.0,0.22432088959491658,0.14297061159650515
0.035923411287135824,1.0,2.6570570478650757e-05,0.6800894417088711,1.0,0.18969896449704143,0.1309171597633136
0.029542097488921712,1.0,6.154603643525356e-05,0.5017936215783486,1.0,,
0.03085657862256233,1.0,7.618908301867242e-05,0.509036556025159,1.0,0.3214888888888889,0.17037037037037037
,1.0,,,1.0,,
0.02939706617279595,1.0,4.6149240459648275e-05,0.5114617438705193,1.0,0.3170486656200942,0.1695447409733124
0.03464523281596452,1.0,0.00010159892321397222,0.5403952266948185,1.0,0.29395894428152497,0.16422287390029328
0.029462023451770666,1.0,4.1790104186908746e-05,0.052345607312896766,1.0,0.3080496453900709,0.16879432624113475
0.03541327289468093,1.0,0.00010118077969908836,0.054540428987326785,1.0,0.2880942857142857,0.16285714285714287
0.03334889615153738,1.0,7.773635466558831e-05,0.5334859486648111,1.0,0.30125874125874125,0.16783216783216784
0.0325055259394097,1.0,5.490798300575963e-05,0.548464404730621,1.0,0.28657601351351353,0.16385135135135134
0.03267546725918181,1.0,4.427570089320028e-05,0.005657695103488689,1.0,0.27234552845528454,0.16124661246612465
0.03802136800882096,1.0,0.00010474206063036077,0.005707213392609788,1.0,0.2701873278236915,0.15977961432506887
,1.0,,,1.0,,
0.03633060853769301,1.0,5.975429035804771e-05,0.5967480500964499,1.0,0.24860526315789477,0.15460526315789475
0.03608545034642032,1.0,4.85672279225038e-05,0.06105665731817131,1.0,238.3189771197847,0.15208613728129208
0.03435363633240578,1.0,6.749240929745733e-05,0.5548904353721986,1.0,0.2803084479371316,0.1630648330058939
0.03334111292634948,1.0,5.028825479087403e-05,0.5696165727370703,1.0,0.26955656108597287,0.1598793363499246
0.037790038545839316,1.0,7.225628785055319e-05,0.006024418980808971,1.0,0.24489483747609947,0.1529636711281071
0.03679446611229671,1.0,5.583378772730912e-05,0.6120038162695554,1.0,0.23823975720789076,0.15174506828528073
0.030037246185269734,1.0,9.102195813718101e-05,0.4856473639504453,1.0,0.34251818181818183,0.17272727272727273
0.036459092897768705,1.0,0.00010416883685076773,0.5561919775927967,1.0,0.28353428571428574,0.16285714285714287
0.041330853482124404,1.0,0.00011385910050172011,0.006257338244878163,1.0,0.2318567493112948,0.14600550964187328
0.04538852578068264,1.0,0.00019480053983125597,0.006549414314238412,1.0,0.21167811158798283,0.13304721030042918
0.03442103813851026,1.0,9.404655229101164e-05,0.5609391722759159,1.0,0.27984699453551914,0.16120218579234974
0.05191029900332226,1.0,0.0003962618244528417,0.007310163755268137,1.0,0.16969465648854962,0.09923664122137404
0.04477077363896848,1.0,0.0002381424129732366,0.6190095253752048,1.0,0.23955319148936172,0.14361702127659576
0.03614544928793465,1.0,0.00015647380644127554,0.5597600985365426,1.0,0.27849350649350646,0.15584415584415584
0.05157031612603786,1.0,0.0003144531471099869,0.006850476598212874,1.0,0.1990243902439024,0.1219512195121951
0.04263301500682128,1.0,0.00014751908306858576,0.6164657206680584,1.0,0.24074048442906576,0.14878892733564014
0.0350938761186173,1.0,9.510535533500623e-05,0.056458751578993625,1.0,0.27709214092140927,0.15989159891598917
0.047514967214672625,1.0,0.000164411651261843,0.7200013105453142,1.0,0.17105190311418686,0.11418685121107267
0.039161934599569216,1.0,7.333695617896857e-05,0.6425381631420289,1.0,0.21675655430711607,0.14232209737827714
0.033546915361132544,1.0,4.806148332540479e-05,0.05962481096290217,1.0,0.2505042979942693,0.15472779369627507
0.04523249502442555,1.0,0.00012923570006978727,0.7010437321322547,1.0,0.18119999999999997,0.11999999999999998
0.04348960598416978,1.0,0.0001214793463244966,0.6899685133690558,1.0,0.1866927374301676,0.1229050279329609
0.04263301500682128,1.0,0.00011975566013152046,0.06759535628468974,1.0,0.19692134831460675,0.12921348314606743
0.04197624144734081,1.0,0.0001166006706870578,0.6756194999836856,1.0,0.19511666666666663,0.12777777777777777
0.043151808060757746,1.0,5.611418473440539e-05,0.007309531587964391,1.0,0.1571261378413524,0.1118335500650195
