delta_(+) or Re_( tau),H,U_(oo+),Re_(1)^('),f_(1)^('),beta,theta_(+),Case
3237,1.898,44.444,1.1443 xx10^(10),2.8291 xx10^(-7),27.6290,500,29
3342,1.632,38.372,1.0266 xx10^(10),3.2560 xx10^(-7),16.6539,477,29
3328,1.531,36.216,9.5248 xx10^(9),3.4939 xx10^(-7),12.3705,453,29
3563,1.400,31.102,8.6194 xx10^(9),4.1340 xx10^(-7),5.5620,443,29
3505,1.336,28.270,7.3487 xx10^(9),4.7689 xx10^(-7),1.9994,377,29
3308,1.322,27.709,6.2523 xx10^(9),5.2912 xx10^(-7),0,365,29
2294,1.979,46.560,6.0410 xx10^(9),3.7974 xx10^(-7),35.9000,362,30
2494,1.790,40.847,5.9173 xx10^(9),4.2148 xx10^(-7),23.4800,384,30
2668,1.629,35.253,5.4782 xx10^(9),4.8702 xx10^(-7),13.1500,386,30
2744,1.469,31.346,4.9622 xx10^(9),5.5298 xx10^(-7),6.1300,366,30
1949,1.958,39.900,3.3010 xx10^(6),5.9034 xx10^(-7),26.2613,299,31
2019,1.710,36.300,3.2072 xx10^(@),6.2943 xx10^(-7),17.1873,300,31
1967,1.570,34.036,2.8928 xx10^(7),6.7995 xx10^(-7),11.5392,271,31
2088,1.431,29.709,2.6747 xx10^(6),7.8068 xx10^(-7),5.6302,262,31
2142,1.378,27.235,2.4691 xx10^(6),8.6740 xx10^(-7),2.0967,247,31
2016,1.359,26.586,2.0776 xx10^(7),9.7016 xx10^(-7),0,236,31
1196,1.870,39.615,1.2405 xx10^(0),9.6409 xx10^(-7),19.3100,186,32
1242,1.678,34.204,1.0776 xx10^(7),1.1526 xx10^(-4),11.4400,187,32
1259,1.569,31.420,9.8921 xx10^(7),1.2727 xx10^(-4),7.5600,180,32
1352,1.449,27.837,9.6327 xx10^(7),1.4035 xx10^(-6),2.5600,177,32
480,1.915,33.850,1.3240 xx10^(1),3.6234 xx10^(-6),"4,4709",82,
405,1.887,32.408,8.7709 xx10^(7),4.6184 xx10^(-6),4.2817,69,
560,1.900,"34,309",1.8723 xx10^(1),2.9894 xx10^(-4),4.2572,95,
637,1.870,34.017,2.4004 xx10^(8),2.6525 xx10^(-6),3.7114,108,
341,1.790,28.864,5.2303 xx10^(7),6.5136 xx10^(-6),3.2990,56,
705,1.825,33.942,2.9977 xx10^(6),2.3521 xx10^(-5),3.0694,119,
350,1.769,28.238,5.3243 xx10^(7),6.5697 xx10^(-5),2.7128,57,
429,1.795,29.986,8.8326 xx10^(7),4.8594 xx10^(-6),2.7597,72,
592,1.749,30.764,1.8177 xx10^(7),3.2542 xx10^(-6),2.3623,97,
738,1.689,30.604,2.8857 xx10^(8),2.5571 xx10^(-4),1.9150,119,
363,1.691,26.301,5.1960 xx10^(7),6.9779 xx10^(-4),1.5605,58,
450,1.668,"27,063",8.5367 xx10^(7),5.2698 xx10^(-6),1.3476,72,
608,1.608,27.525,1.6711 xx10^(1),3.6379 xx10^(-6),1.0929,94,
743,1567,27.712,2.5891 xx10^(8),2.8704 xx10^(-5),0.9508,113,
509,1.719,29.109,1.2189 xx10^(8),4.1785 xx10^(-6),2.1266,83,
663,1.686,29.993,2.2530 xx10^(7),2.9435 xx10^(-6),2.0024,106,
523,1.601,26.462,1.1541 xx10^(1),4.5325 xx10^(-4),1.0049,80,
659,1.570,27.178,1.9639 xx10^(4),3.3568 xx10^(-6),0.9219,100,
330,1.983,33.292,5.8540 xx10^(7),5.6297 xx10^(-6),9.0000,57,
350,1.741,27.428,5.1269 xx10^(7),6.8284 xx10^(-6),2.2000,57,
363,1.588,24.195,4.8292 xx10^(7),7.5206 xx10^(-4),0.7300,53,
233,1.591,22.032,1.7284 xx10^(7),1.3500 xx10^(-3),0.6000,31,
366,1.736,29.052,6.3362 xx10^(7),5.7710 xx10^(-6),4.1000,59,
131,1.710,19.264,4.6621 xx10^(6),2.8139 xx10^(-3),-0.0255,13,
188,1.668,22.336,1.0889 xx10^(7),1.7224 xx10^(-5),0.9935,27,
231,1.787,27.666,2.2837 xx10^(7),1.0104 xx10^(-5),3.9832,36,
164,1.632,19.391,6.9246 xx10^(6),2.3672 xx10^(-3),-0.0189,20,
289,1.618,23.456,2.8375 xx10^(7),1.0202 xx10^(-5),0.8879,43,
369,1.733,28.495,6.2397 xx10^(7),5.9116 xx10^(-5),3.5693,59,
289,1.498,21.046,2.6670 xx10^(7),1.0850 xx10^(-5),-0.0087,33,
534,1.523,25.535,1.1939 xx10^(7),4.4698 xx10^(-6),0.7714,76,
698,1.619,29.809,2.5820 xx10^(4),2.7041 xx10^(-5),2.9236,108,
350,1.510,22.108,4.2033 xx10^(7),8.3385 xx10^(-6),0,42,
358,1.519,22.994,4.6770 xx10^(7),7.6570 xx10^(-6),0,44,
356,1.524,23.456,4.7068 xx10^(7),7.5531 xx10^(-5),0,46,
360,1.527,23.823,4.9728 xx10^(7),7.2444 xx10^(-6),0,46,
769,1.405,23.174,2.3206 xx10^(4),3.3127 xx10^(-4),0,86,
