delta_(+) or Re_( tau),H,U_(oo+),Re_(1)^('),f_(1)^('),beta,theta_(+),Case
1010,1.356,22.506,4.1857e8,2.4120e-6,-0.2292,85,1
1956,1.309,23.955,1.8152e9,1.0778e-6,-0.2085,156,1
4048,1.278,25.816,9.0598e9,4.4681e-7,-0.1880,297,1
5895,1.269,26.957,2.1519e10,2.7392e-7,-0.1800,417,1
183,1.617,18.371,8.7420e6,2.0933e-5,-0.2799,16,2
550,1.402,20.777,1.0328e8,5.3253e-6,-0.2441,48,2
999,1.350,22.412,4.0033e8,2.4954e-6,-0.2314,86,2
2022,1.305,24.101,1.9314e9,1.0469e-6,-0.2114,164,2
4079,1.271,25.954,9.2826e9,4.3942e-7,-0.1923,309,2
5186,1.259,26.575,1.5824e10,3.2772e-7,-0.1860,383,3
1995,1.307,24.396,1.9232e9,1.0373e-6,-0.2131,163,3
1000,1.349,22.593,4.0798e8,2.4511e-6,-0.2306,85,3
851,1.366,23.043,2.9890e8,2.8469e-6,-0.2566,81,4
1091,1.353,23.654,5.1902e8,2.1012e-6,-0.2530,102,4
1430,1.340,24.314,9.5054e8,1.5047e-6,-0.2451,132,4
1818,1.330,24.940,1.6225e9,1.1206e-6,-0.2409,158,4
3321,1.301,26.192,6.0712e9,5.4696e-7,-0.2233,285,4
5050,1.283,27.284,1.5396e10,3.2803e-7,-0.2126,418,4
6595,1.271,27.695,2.7264e10,2.4188e-7,-0.2045,530,4
8509,1.264,28.354,4.7821e10,1.7792e-7,-0.1991,670,4
10878,1.256,28.843,8.1286e10,1.3382e-7,-0.1940,840,4
14800,1.249,29.617,1.5952e11,9.2777e-8,-0.1886,1117,4
19709,1.241,30.291,2.9714e11,6.6329e-8,-0.1842,1462,4
25166,1.235,30.887,5.0414e11,4.9918e-8,-0.1830,1865,4
32836,1.231,31.588,9.0123e11,3.6435e-8,-0.1791,2389,4
54358,1.222,32.743,2.6718e12,2.0345e-8,-0.1722,3830,4
76406,1.216,33.456,5.5271e12,1.3824e-8,-0.1692,5317,4
102110,1.213,34.246,1.0356e13,9.8598e-9,-0.1678,7063,4
127380,1.211,34.846,1.6736e13,7.6111e-9,-0.1648,8674,4
165290,1.206,35.510,2.9267e13,5.6476e-9,-0.1645,11276,4
216190,1.203,36.011,5.1578e13,4.1915e-9,-0.1627,14621,4
283230,1.199,36.559,9.1645e13,3.0905e-9,-0.1584,18701,4
528860,1.193,37.900,3.4819e14,1.5189e-9,-0.1450,32157,4
181,1.628,19.132,9.1387e6,1.9812e-5,-0.2952,16,5
361,1.469,20.605,4.2548e7,8.4897e-6,-0.2760,34,5
550,1.416,21.796,1.1051e8,4.9773e-6,-0.2710,53,5
999,1.367,23.430,4.2714e8,2.3389e-6,-0.2546,93,5
171,1.652,18.885,7.9988e6,2.1435e-5,-0.2953,15,6
500,1.431,21.444,8.8707e7,5.6393e-6,-0.2698,47,6
1002,1.373,23.569,4.3178e8,2.3204e-6,-0.2612,95,6
2003,1.323,24.961,2.0131e9,9.9511e-7,-0.2220,168,6
2568,1.350,27.320,3.5878e9,7.1579e-7,0,296,7
3914,1.329,28.636,9.2575e9,4.2274e-7,0,442,8
6575,1.309,30.038,2.9126e10,2.2576e-7,0,721,8
7925,1.295,30.223,4.3183e10,1.8353e-7,0,854,8
10748,1.291,31.211,8.5372e10,1.2589e-7,0,1132,8
10768,1.286,31.288,8.5568e10,1.2584e-7,0,1159,9
2622,1.348,27.641,3.8238e9,6.8558e-7,0,302,10
4635,1.315,29.110,1.3508e10,3.4310e-7,0,516,10
8261,1.289,30.550,4.8297e10,1.7105e-7,0,873,10
14717,1.262,31.931,1.7143e11,8.5846e-8,0,1467,10
25062,1.247,33.294,5.4761e11,4.5766e-8,0,2383,10
40053,1.238,34.546,1.5096e12,2.6531e-8,0,3784,10
72526,1.230,35.964,5.4698e12,1.3259e-8,0,6459,10
